product_id,name,rating,rating_count,num_flowers,aroma,composition_flowers,target_price,bonus,city
2557,Букет цветов Сладость,4.6,688,9,яркий,пион,6605.0,331,Псков
2465,Букет цветов Наслаждение,5.0,879,9,яркий,"пион, эвкалипт",7256.0,363,Псков
5493,Букет цветов Грация лета,4.7,196,9,яркий,пион,7287.0,365,Псков
5099,Букет цветов Робкая надежда,4.7,175,11,яркий,пион,8390.0,420,Псков
5098,Букет цветов Эстетика любви,4.5,165,11,яркий,пион,8621.0,432,Псков
5496,Букет цветов Нежность рассвета,4.8,198,13,яркий,пион,9125.0,457,Псков
5526,Букет из пионов микс (Сара Бернар) под ленту   15 шт,4.8,185,15,яркий,пион,9854.0,493,Псков
5102,Букет цветов Магия любви,4.8,185,15,яркий,пион,11324.0,567,Псков
5517,Букет из 25 белых пионов (Premium) под ленту,4.7,169,25,яркий,пион,12206.0,611,Псков
4734,Букет из 25 розовых пионов (Premium) в стильной упаковке,5.0,165,25,яркий,пион,16669.0,834,Псков
5497,Букет цветов Летняя серенада,4.8,198,25,яркий,пион,16774.0,839,Псков
5093,Букет из 35 розовых пионов (Premium) под ленту,4.9,165,35,яркий,пион,22328.0,1117,Псков
4735,Букет из 35 пионов (Premium) микс в стильной упаковке,4.8,420,35,яркий,пион,22958.0,1148,Псков
5091,Букет из 35 розовых пионов (Premium) в стильной упаковке,4.3,165,35,яркий,пион,22958.0,1148,Псков
4736,Букет из 51 розового пиона (Premium) в стильной упаковке,4.6,109,51,яркий,пион,33338.0,1667,Псков
4139,Корзина цветов из 39 пионов с эвкалиптом,4.9,501,39,яркий,"пион, эвкалипт",26534.0,1327,Псков
3577,Букет из 3 белых кустовых хризантем в стильной упаковке,4.6,685,3,сладкий,хризантема,2194.0,110,Краснодар
2396,Букет из 5 кустовых хризантем Балтика микс в стильной упаковке,4.7,920,5,сладкий,хризантема,3074.0,154,Краснодар
3588,Букет из 15 кустовых хризантем микс в стильной упаковке,4.7,879,15,сладкий,хризантема,7755.0,388,Краснодар
3585,Букет из 9 белых кустовых хризантем в стильной упаковке,4.8,691,9,сладкий,хризантема,4826.0,242,Краснодар
3586,Букет из 11 кустовых хризантем микс в стильной упаковке,4.9,742,11,сладкий,хризантема,5852.0,293,Краснодар
3592,Букет из 25 кустовых хризантем микс в стильной упаковке,4.5,939,25,сладкий,хризантема,12289.0,615,Краснодар
3593,Букет из 35 кустовых хризантем микс в стильной упаковке,4.7,664,35,сладкий,хризантема,15170.0,759,Краснодар
2945,Букет из 11 белых кустовых хризантем Сантини в упаковке,4.6,763,11,сладкий,хризантема,3449.0,173,Краснодар
3582,Букет из 7 белых кустовых хризантем в стильной упаковке,4.9,558,7,сладкий,хризантема,3955.0,198,Краснодар
3949,Букет из 35 белых кустовых хризантем Балтика в стильной упаковке,4.9,876,35,сладкий,хризантема,14657.0,733,Краснодар
3580,Букет из 5 белых кустовых хризантем в стильной упаковке,4.6,530,5,сладкий,хризантема,3074.0,154,Краснодар
